gene_symbol$transcript_id$relative_likelihood$best_order$number_of_orders_have_same_prob$percent_coverage_order_pair$disorder_p_value$spearman_rho$spearman_rho_abs$spearman_p_value
aps3$SPAC30D11.05.1$0$1,2$1$1$-25.8888897340321$1$1$1
hfl1$SPAC30D11.06c.1$0$1,2$1$1$-8.30839964509062$1$1$1
cwf19$SPAC30D11.09.1$0$1,2$1$1$-2.22768475370466$1$1$1
rpl3802$SPAC30D11.12.1$-0.0390674681909094$2,1$1$1$-0.11806852126261$-1$1$1
trm112$SPAC31A2.02.1$-4.08913978400212$3,1,2$2$1$-9.53680357397695$-0.5$0.5$1
apm4$SPAC31A2.09c.1$0$1,2$1$1$-0.739610443725583$1$1$1
SPAC31G5.02$SPAC31G5.02.1$0$1,2$1$1$-1.90967828215751$1$1$1
maf1$SPAC31G5.12c.1$0$1,2$1$1$-7.47733261394179$1$1$1
pup2$SPAC323.02c.1$-5.34277625667722$3,2,1$1$1$-3.13868726023278$-1$1$0.333333333333333
SPAC323.03c$SPAC323.03c.1$-6.75809450442773$2,3,1$1$1$-4.37456492790188$-0.5$0.5$1
SPAC323.05c$SPAC323.05c.1$-15.2432006772443$4,3,2,1$1$1$-18.4848633581446$-1$1$0.0833333333333333
mug8$SPAC32A11.01.1$0$1,2$1$1$-2.22768475370466$1$1$1
apc11$SPAC343.03.1$0$1,2$1$1$-33.3982757532091$1$1$1
gid7$SPAC343.04c.1$0$1,2$2$1$0$1$1$1
vma1$SPAC343.05.1$0$1,2$1$1$-6.38175840356868$1$1$1
mrp17$SPAC343.08c.1$0$1,2$1$1$-0.908036709882947$1$1$1
SPAC343.14c$SPAC343.14c.1$0$1,2$1$1$-1.30606938532732$1$1$1
gim1$SPAC3A11.13.1$-1.76178898345513$3,1,2$1$1$-7.28154376520865$-0.5$0.5$1
SPAC3A12.02$SPAC3A12.02.1$-3.04452243772342$2,1$1$1$-2.22768475370466$-1$1$1
rpp1$SPAC3A12.04c.1$-1.6154592367869$3,1,2$1$1$-1.1004685464773$-0.5$0.5$1
rpb11$SPAC3A12.07.1$-1.08221847889243$2,1$1$1$-3.19958896803368$-1$1$1
cwf2$SPAC3A12.11c.1$0$1,2$1$1$-2.22768475370466$1$1$1
SPAC3F10.09$SPAC3F10.09.1$-0.279584862219161$2,3,1$1$1$-1.11964092691253$-0.5$0.5$1
spd2$SPAC3F10.19.1$0$1,2$1$1$-50.8331799357422$1$1$1
hrp3$SPAC3G6.01.1$-5.01727983681492$2,1$1$1$-12.080272209127$-1$1$1
rpn15$SPAC3G6.02.1$0$1,2$1$1$-1.18308466193987$1$1$1
SPAC3G6.03c$SPAC3G6.03c.1$-8.52535975408263$3,2,1$1$1$-7.59040504807979$-1$1$0.333333333333333
SPAC3G6.05$SPAC3G6.05.1$0$2,1,3$2$1$-2.05681122379985$0.5$0.5$1
rad2$SPAC3G6.06c.1$0$1,2$1$1$-8.42925322172309$1$1$1
chl1$SPAC3G6.11.1$-3.93182563272433$2,1$1$1$-4.66260972314472$-1$1$1
spa2$SPAC3G9.05.1$-0.279584862219161$2,1$1$1$-0.349435069045904$-1$1$1
frs2$SPAC3G9.06.1$-2.39789527279837$2,1$1$1$-6.98127174943344$-1$1$1
tif211$SPAC3G9.09c.1$0$1,2$1$1$-0.270624726410279$1$1$1
rrp41$SPAC3G9.10c.1$0$1,2$1$1$-15.9467175774754$1$1$1
peg1$SPAC3G9.12.1$0$1,2$1$1$-4.66260972314472$1$1$1
new8$SPAC3G9.17.1$0$1,2$1$1$-19.3175493985147$1$1$1
avt3$SPAC3H1.09c.1$0$1,2,3$2$1$-5.63074977179147$1$1$0.333333333333333
new4$SPAC3H5.13.1$-0.389464766761723$2,1$1$1$-0.424836659504675$-1$1$1
mms1$SPAC3H8.05c.1$-1.9727573990915$2,1$1$1$-7.13490938285745$-1$1$1
pac10$SPAC3H8.07c.1$0$1,2$1$1$-2.27144417966398$1$1$1
nab3$SPAC3H8.09c.1$0$1,2$1$1$-1.30606938532732$1$1$1
spo20$SPAC3H8.10.1$-8.39185670010494$3,1,2$1$1$-28.3754594154309$-0.5$0.5$1
SPAC458.02c$SPAC458.02c.1$-1.2666713985415$2,1$1$1$-5.25381949033047$-1$1$1
atg1803$SPAC458.06.1$-13.131054770313$4,2,3,1$1$1$-9.96241083161416$-0.8$0.8$0.333333333333333
tfa1$SPAC458.07.1$-0.556067587879326$2,1,3$1$1$-1.21751644010705$0.5$0.5$1
lcb4$SPAC4A8.07c.1$0$1,2$2$1$0$1$1$1
rog1$SPAC4A8.10.1$-1.70767635201751$2,1$1$1$-6.90132648343473$-1$1$1
cdc3$SPAC4A8.15c.1$-5.99396142730657$2,1$1$1$-29.8753538955658$-1$1$1
SPAC4C5.01$SPAC4C5.01.1$-17.7897685521475$4,5,2,3,1$1$1$-42.4720966320244$-0.8$0.8$0.133333333333333
ryh1$SPAC4C5.02c.1$-4.39444915467244$1,3,2$1$1$-14.1256950635243$0.5$0.5$1
sum1$SPAC4D7.05.1$0$1,2$1$1$-1.25210399646194$1$1$1
